vprog,amp_neuron,vth,input_nbr,tau_in,tau_out,lr,alpha,multiplicative,iterations,presentation_time,pause_time,dt,n_neurons,inhibition_time,tau_ref_in,tau_ref_out,inc_n,tau_n,synapse_layer_1,winit_max,vprog_increment,voltage_clip_max,voltage_clip_min,Vapp_multiplier,gain_in,bias_in,noise_input,accuracy,accuracy_2,seed
0,0.05,0.5,60000,0.03,0.03,5.00E-05,0,1,4,0.35,0,0.005,50,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,75.86,74.62,100
0,0.05,0.5,60000,0.03,0.03,0.0001,0,1,2,0.35,0,0.005,50,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,75.84,74.56,420
0,0.05,0.5,60000,0.03,0.03,0.005,0,1,2,0.35,0,0.005,50,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,75.83,75.45,420
0,0.05,0.5,60000,0.03,0.03,0.0001,0,1,2,0.35,0,0.005,50,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,75.75,75.17,50
0,0.05,0.5,60000,0.03,0.03,0.0001,0,1,2,0.35,0,0.005,50,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,75.53,73.99,100
0,0.05,0.5,60000,0.03,0.03,5.00E-05,0,1,4,0.35,0,0.005,50,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,75.5,75.02,50
0,0.05,0.5,60000,0.03,0.03,0.005,0,1,1,0.35,0,0.005,50,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,75.42,74.91,50
0,0.05,0.5,60000,0.03,0.03,0.005,0,1,3,0.35,0,0.005,50,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,75.39,74.68,50
0,0.05,0.5,60000,0.03,0.03,0.005,0,1,4,0.35,0,0.005,50,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,75.35,74.96,50
0,0.05,0.5,60000,0.03,0.03,0.0001,0,1,3,0.35,0,0.005,50,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,75.33,74.89,2011
